NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
40,2903,7,20,23,24,27,42,16,"$30,000,000.00",30/9/2015
40,2902,5,16,25,27,35,45,42,"$546,000,000.00",27/9/2015
40,2901,2,8,9,25,46,52,53,"$541,000,000.00",23/9/2015
40,2900,2,13,18,20,21,52,46,"$535,000,000.00",20/9/2015
40,2899,13,18,30,33,36,51,37,"$530,500,000.00",16/9/2015
40,2898,10,18,25,33,38,49,1,"$524,500,000.00",13/9/2015
40,2897,4,8,24,25,26,37,27,"$521,000,000.00",9/9/2015
40,2896,9,10,15,41,46,49,43,"$515,000,000.00",6/9/2015
40,2895,16,19,30,38,40,49,6,"$509,000,000.00",2/9/2015
40,2894,12,13,16,26,30,49,45,"$503,500,000.00",30/8/2015
40,2893,2,22,28,32,33,51,9,"$498,500,000.00",26/8/2015
40,2892,1,3,5,24,42,46,26,"$493,000,000.00",23/8/2015
40,2891,15,22,27,28,30,31,50,"$488,500,000.00",19/8/2015
40,2890,8,16,17,26,31,37,12,"$483,500,000.00",16/8/2015
40,2889,3,16,20,28,40,55,54,"$478,500,000.00",12/8/2015
40,2888,13,14,23,35,37,40,28,"$473,000,000.00",9/8/2015
40,2887,23,25,29,33,46,49,40,"$468,000,000.00",5/8/2015
40,2886,5,13,19,29,30,56,21,"$462,500,000.00",2/8/2015
40,2885,1,11,20,27,39,41,45,"$458,000,000.00",29/7/2015
40,2884,2,16,30,35,51,53,17,"$452,500,000.00",26/7/2015
40,2883,11,12,17,32,36,54,51,"$448,000,000.00",22/7/2015
40,2882,1,15,26,30,49,52,10,"$442,500,000.00",19/7/2015
40,2881,19,22,41,48,51,55,39,"$437,000,000.00",15/7/2015
40,2880,12,16,30,32,37,49,5,"$432,000,000.00",12/7/2015
40,2879,6,9,27,32,37,44,17,"$428,000,000.00",8/7/2015
40,2878,1,5,10,17,34,40,9,"$423,000,000.00",5/7/2015
40,2877,1,17,20,29,35,51,49,"$418,000,000.00",1/7/2015
40,2876,3,16,28,30,40,54,32,"$412,500,000.00",28/6/2015
40,2875,2,4,16,38,50,52,54,"$408,000,000.00",24/6/2015
40,2874,3,6,23,25,34,35,15,"$404,000,000.00",21/6/2015
40,2873,1,4,11,17,44,52,42,"$400,000,000.00",17/6/2015
40,2872,4,10,12,22,32,51,29,"$394,500,000.00",14/6/2015
40,2871,16,24,32,36,51,52,19,"$390,000,000.00",10/6/2015
40,2870,14,33,42,45,51,55,50,"$384,500,000.00",7/6/2015
40,2869,2,20,31,35,48,53,18,"$379,000,000.00",3/6/2015
40,2868,1,10,11,33,37,47,16,"$374,000,000.00",31/5/2015
40,2867,3,26,27,38,44,56,50,"$370,000,000.00",27/5/2015
40,2866,7,8,23,34,47,52,37,"$364,500,000.00",24/5/2015
40,2865,3,4,17,19,21,49,1,"$361,000,000.00",20/5/2015
40,2864,7,23,25,29,33,50,28,"$357,000,000.00",17/5/2015
40,2863,21,25,27,36,47,54,34,"$353,000,000.00",13/5/2015
40,2862,11,12,18,40,53,56,43,"$348,000,000.00",10/5/2015
40,2861,5,7,29,36,38,41,46,"$344,000,000.00",6/5/2015
40,2860,9,14,22,35,37,47,46,"$339,000,000.00",3/5/2015
40,2859,24,29,42,44,52,53,10,"$334,500,000.00",29/4/2015
40,2858,10,28,33,37,46,52,23,"$329,500,000.00",26/4/2015
40,2857,2,11,16,24,31,37,21,"$325,500,000.00",22/4/2015
40,2856,6,15,20,24,37,51,16,"$320,500,000.00",19/4/2015
40,2855,4,8,10,18,46,56,29,"$316,000,000.00",15/4/2015
40,2854,7,18,23,31,35,36,32,"$311,000,000.00",12/4/2015
40,2853,4,10,40,42,45,46,30,"$306,000,000.00",8/4/2015
40,2852,5,6,14,15,31,46,32,"$302,000,000.00",5/4/2015
40,2851,24,25,26,32,39,47,19,"$297,000,000.00",1/4/2015
40,2850,3,7,17,38,39,50,51,"$293,500,000.00",29/3/2015
40,2849,3,31,39,43,44,50,19,"$289,000,000.00",25/3/2015
40,2848,22,33,40,41,42,48,23,"$283,500,000.00",22/3/2015
40,2847,8,34,43,49,54,55,27,"$279,000,000.00",18/3/2015
40,2846,9,18,28,29,41,50,32,"$274,000,000.00",15/3/2015
40,2845,8,11,22,23,38,41,49,"$270,500,000.00",11/3/2015
40,2844,11,17,19,24,43,49,15,"$265,500,000.00",8/3/2015
40,2843,17,22,24,31,43,50,12,"$261,500,000.00",4/3/2015
40,2842,4,5,25,35,48,53,22,"$256,000,000.00",1/3/2015
40,2841,6,8,29,47,48,50,22,"$252,000,000.00",25/2/2015
